                                     | Core 0    
  Instructions                       |  280947321
  Cycles                             |  174052348
  IPC                                |       1.61
  Time (ns)                          |   65433214
  Idle time (ns)                     |      47074
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |   11820577
  num incorrect                      |     105226
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         85
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345697
    num misses                       |      62809
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62894
    num misses                       |       9012
    miss rate                        |     14.33%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      71374
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346347
    num cache misses                 |    1026130
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1111426
    num cache misses                 |     604102
    miss rate                        |     54.35%
    mpki                             |       2.15
  Cache L3                           |           
    num cache accesses               |     618024
    num cache misses                 |      30347
    miss rate                        |      4.91%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30347
  average dram access latency (ns)   |    7823.18
  average dram queueing delay        |    7769.75
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21936
  num loads from dram cache          |          0
  num loads from remote cache        |          0
