                                     | Core 0    
  Instructions                       |   12592022
  Cycles                             |   11321781
  IPC                                |       1.11
  Time (ns)                          |    4256309
  Idle time (ns)                     |      96153
  Idle time (%)                      |       2.3%
Branch predictor stats               |           
  num correct                        |     104677
  num incorrect                      |      12622
  misprediction rate                 |     10.76%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         19
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2407
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2426
    num misses                       |       1027
    miss rate                        |     42.33%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1391
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11339
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12736
    num cache misses                 |      10617
    miss rate                        |     83.36%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10623
    num cache misses                 |        888
    miss rate                        |      8.36%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1769
  average dram access latency (ns)   |      55.56
  average dram queueing delay        |       2.13
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        117
  num loads from dram cache          |          0
  num loads from remote cache        |          0
