                                     | Core 0    
  Instructions                       |   36712724
  Cycles                             |   48633450
  IPC                                |       0.75
  Time (ns)                          |   18283252
  Idle time (ns)                     |      39846
  Idle time (%)                      |       0.2%
Branch predictor stats               |           
  num correct                        |    6510219
  num incorrect                      |     829847
  misprediction rate                 |     11.31%
  mpki                               |      22.60
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       5504
    miss rate                        |      0.04%
    mpki                             |       0.15
  L2 TLB                             |           
    num accesses                     |       5526
    num misses                       |       1647
    miss rate                        |     29.80%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2632
    miss rate                        |      0.06%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     136142
    miss rate                        |      1.05%
    mpki                             |       3.71
  Cache L2                           |           
    num cache accesses               |     147165
    num cache misses                 |     103175
    miss rate                        |     70.11%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111566
    num cache misses                 |      57096
    miss rate                        |     51.18%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |      54.00
  average dram queueing delay        |       0.57
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |      14331
  num loads from dram cache          |          0
  num loads from remote cache        |          0
