                                     | Core 0    
  Instructions                       |   12592028
  Cycles                             |   35434966
  IPC                                |       0.36
  Time (ns)                          |   13321416
  Idle time (ns)                     |      58704
  Idle time (%)                      |       0.4%
Branch predictor stats               |           
  num correct                        |     104669
  num incorrect                      |      12630
  misprediction rate                 |     10.77%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         21
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2429
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2450
    num misses                       |       1041
    miss rate                        |     42.49%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1348
    miss rate                        |      0.12%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11317
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12671
    num cache misses                 |      10517
    miss rate                        |     83.00%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10523
    num cache misses                 |        888
    miss rate                        |      8.44%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1768
  average dram access latency (ns)   |      54.18
  average dram queueing delay        |       0.75
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        118
  num loads from dram cache          |          0
  num loads from remote cache        |          0
