                                     | Core 0    
  Instructions                       |   12592027
  Cycles                             |   22013113
  IPC                                |       0.57
  Time (ns)                          |    8275607
  Idle time (ns)                     |      58696
  Idle time (%)                      |       0.7%
Branch predictor stats               |           
  num correct                        |     104687
  num incorrect                      |      12612
  misprediction rate                 |     10.75%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         19
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2398
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2417
    num misses                       |       1025
    miss rate                        |     42.41%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1394
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11320
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12717
    num cache misses                 |      10559
    miss rate                        |     83.03%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10562
    num cache misses                 |        880
    miss rate                        |      8.33%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1751
  average dram access latency (ns)   |      54.75
  average dram queueing delay        |       1.32
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        112
  num loads from dram cache          |          0
  num loads from remote cache        |          0
