                                     | Core 0    
  Instructions                       |   12592022
  Cycles                             |   11508285
  IPC                                |       1.09
  Time (ns)                          |    4326423
  Idle time (ns)                     |      96208
  Idle time (%)                      |       2.2%
Branch predictor stats               |           
  num correct                        |     104709
  num incorrect                      |      12590
  misprediction rate                 |     10.73%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         20
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2439
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2459
    num misses                       |       1033
    miss rate                        |     42.01%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1396
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11326
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12728
    num cache misses                 |      10583
    miss rate                        |     83.15%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10589
    num cache misses                 |        888
    miss rate                        |      8.39%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1769
  average dram access latency (ns)   |      55.52
  average dram queueing delay        |       2.09
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        118
  num loads from dram cache          |          0
  num loads from remote cache        |          0
