                                     | Core 0    
  Instructions                       |    2223860
  Cycles                             |    1684573
  IPC                                |       1.32
  Time (ns)                          |     633298
  Idle time (ns)                     |      40458
  Idle time (%)                      |       6.4%
Branch predictor stats               |           
  num correct                        |     218383
  num incorrect                      |       9219
  misprediction rate                 |      4.05%
  mpki                               |       4.15
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302839
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     807109
    num misses                       |         88
    miss rate                        |      0.01%
    mpki                             |       0.04
  L2 TLB                             |           
    num accesses                     |         99
    num misses                       |         41
    miss rate                        |     41.41%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302839
    num cache misses                 |        381
    miss rate                        |      0.13%
    mpki                             |       0.17
  Cache L1-D                         |           
    num cache accesses               |     807309
    num cache misses                 |       9591
    miss rate                        |      1.19%
    mpki                             |       4.31
  Cache L2                           |           
    num cache accesses               |      10153
    num cache misses                 |       1914
    miss rate                        |     18.85%
    mpki                             |       0.86
  Cache L3                           |           
    num cache accesses               |       2099
    num cache misses                 |       1847
    miss rate                        |     87.99%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     173.60
  average dram queueing delay        |     120.17
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
