                                     | Core 0    
  Instructions                       |    2223859
  Cycles                             |    1673135
  IPC                                |       1.33
  Time (ns)                          |     628998
  Idle time (ns)                     |      40459
  Idle time (%)                      |       6.4%
Branch predictor stats               |           
  num correct                        |     218384
  num incorrect                      |       9218
  misprediction rate                 |      4.05%
  mpki                               |       4.15
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302839
    num misses                       |         12
    miss rate                        |      0.00%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |     807109
    num misses                       |        107
    miss rate                        |      0.01%
    mpki                             |       0.05
  L2 TLB                             |           
    num accesses                     |        119
    num misses                       |         43
    miss rate                        |     36.13%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302839
    num cache misses                 |        398
    miss rate                        |      0.13%
    mpki                             |       0.18
  Cache L1-D                         |           
    num cache accesses               |     807309
    num cache misses                 |       9573
    miss rate                        |      1.19%
    mpki                             |       4.30
  Cache L2                           |           
    num cache accesses               |      10152
    num cache misses                 |       1906
    miss rate                        |     18.77%
    mpki                             |       0.86
  Cache L3                           |           
    num cache accesses               |       2091
    num cache misses                 |       1847
    miss rate                        |     88.33%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     181.15
  average dram queueing delay        |     127.72
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
