                                     | Core 0    
  Instructions                       |     137840
  Cycles                             |     531635
  IPC                                |       0.26
  Time (ns)                          |     199863
  Idle time (ns)                     |      75969
  Idle time (%)                      |      38.0%
Branch predictor stats               |           
  num correct                        |       5640
  num incorrect                      |       1117
  misprediction rate                 |     16.53%
  mpki                               |       8.10
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      14357
    num misses                       |          7
    miss rate                        |      0.05%
    mpki                             |       0.05
  D-TLB                              |           
    num accesses                     |      41764
    num misses                       |         45
    miss rate                        |      0.11%
    mpki                             |       0.33
  L2 TLB                             |           
    num accesses                     |         52
    num misses                       |         17
    miss rate                        |     32.69%
    mpki                             |       0.12
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      14357
    num cache misses                 |        170
    miss rate                        |      1.18%
    mpki                             |       1.23
  Cache L1-D                         |           
    num cache accesses               |      41774
    num cache misses                 |        825
    miss rate                        |      1.97%
    mpki                             |       5.99
  Cache L2                           |           
    num cache accesses               |       1066
    num cache misses                 |        322
    miss rate                        |     30.21%
    mpki                             |       2.34
  Cache L3                           |           
    num cache accesses               |        393
    num cache misses                 |        265
    miss rate                        |     67.43%
    mpki                             |       1.92
DRAM summary                         |           
  num dram accesses                  |        265
  average dram access latency (ns)   |      53.56
  average dram queueing delay        |       0.14
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        137
  num loads from dram cache          |          0
  num loads from remote cache        |          0
