                                     | Core 0    
  Instructions                       |  280947229
  Cycles                             |  126447924
  IPC                                |       2.22
  Time (ns)                          |   47536814
  Idle time (ns)                     |      37632
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |   11821077
  num incorrect                      |     104726
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         79
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345697
    num misses                       |      65888
    miss rate                        |      0.10%
    mpki                             |       0.23
  L2 TLB                             |           
    num accesses                     |      65967
    num misses                       |       9222
    miss rate                        |     13.98%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70428
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346347
    num cache misses                 |    1026040
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1110390
    num cache misses                 |     606235
    miss rate                        |     54.60%
    mpki                             |       2.16
  Cache L3                           |           
    num cache accesses               |     620157
    num cache misses                 |      30283
    miss rate                        |      4.88%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30283
  average dram access latency (ns)   |   15853.99
  average dram queueing delay        |   15800.56
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21868
  num loads from dram cache          |          0
  num loads from remote cache        |          0
