                                     | Core 0    
  Instructions                       |   12592025
  Cycles                             |   21846071
  IPC                                |       0.58
  Time (ns)                          |    8212809
  Idle time (ns)                     |      96138
  Idle time (%)                      |       1.2%
Branch predictor stats               |           
  num correct                        |     104657
  num incorrect                      |      12642
  misprediction rate                 |     10.78%
  mpki                               |       1.00
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1091176
    num misses                       |         18
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    6522728
    num misses                       |       2381
    miss rate                        |      0.04%
    mpki                             |       0.19
  L2 TLB                             |           
    num accesses                     |       2399
    num misses                       |       1018
    miss rate                        |     42.43%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1091176
    num cache misses                 |       1392
    miss rate                        |      0.13%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |    6522734
    num cache misses                 |      11341
    miss rate                        |      0.17%
    mpki                             |       0.90
  Cache L2                           |           
    num cache accesses               |      12738
    num cache misses                 |      10586
    miss rate                        |     83.11%
    mpki                             |       0.84
  Cache L3                           |           
    num cache accesses               |      10591
    num cache misses                 |        884
    miss rate                        |      8.35%
    mpki                             |       0.07
DRAM summary                         |           
  num dram accesses                  |       1760
  average dram access latency (ns)   |      54.86
  average dram queueing delay        |       1.43
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |        115
  num loads from dram cache          |          0
  num loads from remote cache        |          0
