                                     | Core 0    
  Instructions                       |     137837
  Cycles                             |     391985
  IPC                                |       0.35
  Time (ns)                          |     147363
  Idle time (ns)                     |      75992
  Idle time (%)                      |      51.6%
Branch predictor stats               |           
  num correct                        |       5655
  num incorrect                      |       1102
  misprediction rate                 |     16.31%
  mpki                               |       7.99
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      14357
    num misses                       |          8
    miss rate                        |      0.06%
    mpki                             |       0.06
  D-TLB                              |           
    num accesses                     |      41764
    num misses                       |         42
    miss rate                        |      0.10%
    mpki                             |       0.30
  L2 TLB                             |           
    num accesses                     |         50
    num misses                       |         18
    miss rate                        |     36.00%
    mpki                             |       0.13
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      14357
    num cache misses                 |        166
    miss rate                        |      1.16%
    mpki                             |       1.20
  Cache L1-D                         |           
    num cache accesses               |      41774
    num cache misses                 |        827
    miss rate                        |      1.98%
    mpki                             |       6.00
  Cache L2                           |           
    num cache accesses               |       1064
    num cache misses                 |        315
    miss rate                        |     29.61%
    mpki                             |       2.29
  Cache L3                           |           
    num cache accesses               |        386
    num cache misses                 |        265
    miss rate                        |     68.65%
    mpki                             |       1.92
DRAM summary                         |           
  num dram accesses                  |        265
  average dram access latency (ns)   |      53.80
  average dram queueing delay        |       0.37
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        137
  num loads from dram cache          |          0
  num loads from remote cache        |          0
