                                     | Core 0    
  Instructions                       |  280947229
  Cycles                             |  298008082
  IPC                                |       0.94
  Time (ns)                          |  112033114
  Idle time (ns)                     |      52430
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11821528
  num incorrect                      |     104275
  misprediction rate                 |      0.87%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         73
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345689
    num misses                       |      62425
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62498
    num misses                       |      10246
    miss rate                        |     16.39%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70885
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346339
    num cache misses                 |    1026798
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1111605
    num cache misses                 |     605449
    miss rate                        |     54.47%
    mpki                             |       2.16
  Cache L3                           |           
    num cache accesses               |     619371
    num cache misses                 |      30284
    miss rate                        |      4.89%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30284
  average dram access latency (ns)   |    5682.37
  average dram queueing delay        |    5628.94
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21869
  num loads from dram cache          |          0
  num loads from remote cache        |          0
